FailureID,Loco,FailureDate,FaultTime,FaultText,FaultCode,Processor,Vendor
4649392,30751,17/12/2024,2024-12-18 13:49:19,SLG2:0060-PECInt2 internal PS fail,60,70,LotusWireless
4649392,30751,17/12/2024,2024-12-18 13:49:19,SLG2:0060-PECInt2 internal PS fail,60,70,LotusWireless
4649392,30751,17/12/2024,2024-12-18 13:49:19,SLG2:0060-PECInt2 internal PS fail,60,70,LotusWireless
4649392,30751,17/12/2024,2024-12-18 13:49:22,SLG2:0060-PECInt2 internal PS fail,60,70,LotusWireless
4649392,30751,17/12/2024,2024-12-18 13:49:22,SLG2:0060-PECInt2 internal PS fail,60,70,LotusWireless
4649392,30751,17/12/2024,2024-12-18 13:49:22,SLG2:0060-PECInt2 internal PS fail,60,70,LotusWireless
4649392,30751,17/12/2024,2024-12-18 14:01:38,FLG1:0091-Power on of MCE,91,20,LotusWireless
4649392,30751,17/12/2024,2024-12-18 14:01:38,STB1:0009-Rotary switch bogie 1 cut out,9,26,LotusWireless
4649392,30751,17/12/2024,2024-12-18 14:01:38,FLG1:0091-Power on of MCE,91,20,LotusWireless
4649392,30751,17/12/2024,2024-12-18 14:01:38,STB1:0009-Rotary switch bogie 1 cut out,9,26,LotusWireless
4649392,30751,17/12/2024,2024-12-18 14:01:45,FLG1:0094-SS02 traction bogie1 off,94,20,LotusWireless
4649392,30751,17/12/2024,2024-12-18 14:01:45,FLG1:0094-SS02 traction bogie1 off,94,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
4616384,39117,30/11/2024,2024-12-01 09:30:24,Emergency brake pressure sw.,19,20,LotusWireless
