devicetime,actual_deg,pred_deg,resid_deg,dev,score01,rule01
2024-12-01 11:33:32,93.40659,71.43382,21.97277,21.93673642332197,1.0,0.0
2024-12-01 11:33:33,93.26007,71.4338,21.826271,21.89991463459095,1.0,0.0
2024-12-01 11:33:33,93.26007,71.43378,21.826294,21.87537440483147,1.0,0.0
2024-12-01 11:33:34,93.23566,71.43376,21.801895,21.850881317088167,1.0,0.0
2024-12-01 11:33:34,93.23566,71.43376,21.801895,21.834552591925966,1.0,0.0
2024-12-01 11:33:35,93.38217,71.43373,21.94844,21.87251524520325,1.0,0.0
2024-12-01 11:33:35,93.38217,71.433716,21.948456,21.89782876698446,1.0,0.0
2024-12-01 11:33:36,93.13797,71.433685,21.704285,21.833314067312557,1.0,0.0
2024-12-01 11:33:36,93.13797,71.43367,21.7043,21.79030935379431,1.0,0.0
2024-12-01 11:33:37,93.21123,71.43365,21.77758,21.786066322939696,1.0,0.0
2024-12-01 11:33:37,93.21123,71.433624,21.777603,21.78324526509782,1.0,0.0
2024-12-01 11:33:38,93.26007,71.4336,21.82647,21.79765331719412,1.0,0.0
2024-12-01 11:33:38,93.26007,71.43357,21.8265,21.80726885778436,1.0,0.0
2024-12-01 11:33:39,93.40659,71.433525,21.973068,21.86253531762447,1.0,0.0
2024-12-01 11:33:39,93.40659,71.43348,21.973114,21.899394882973606,1.0,0.0
2024-12-01 11:33:40,93.26007,71.43343,21.826637,21.875142344671207,1.0,0.0
2024-12-01 11:33:40,93.26007,71.43339,21.826683,21.858989244592003,1.0,0.0
2024-12-01 11:33:41,93.01587,71.43333,21.582542,21.766840302872534,1.0,0.0
2024-12-01 11:33:41,93.01587,71.433266,21.582603,21.70542802011164,1.0,0.0
2024-12-01 11:33:42,93.16239,71.43322,21.729172,21.713342597717656,1.0,0.0
2024-12-01 11:33:42,93.16239,71.4332,21.729195,21.718626612182867,1.0,0.0
2024-12-01 11:33:43,93.23566,71.43316,21.802498,21.74658369604509,1.0,0.0
2024-12-01 11:33:43,93.23566,71.433105,21.802551,21.765239553873812,1.0,0.0
2024-12-01 11:33:44,93.089134,71.43307,21.656067,21.72884866742629,1.0,0.0
2024-12-01 11:33:44,93.089134,71.433044,21.65609,21.70459570585581,1.0,0.0
2024-12-01 11:33:45,93.13797,71.432976,21.704994,21.704728537790594,1.0,0.0
2024-12-01 11:33:45,93.13797,71.432915,21.705055,21.704837437465866,1.0,0.0
2024-12-01 11:33:46,92.991455,71.43286,21.558594,21.65608954164391,1.0,0.0
2024-12-01 11:33:46,92.991455,71.432816,21.55864,21.623606203218337,1.0,0.0
2024-12-01 11:33:47,93.18681,71.43276,21.754051,21.667087871644256,1.0,0.0
2024-12-01 11:33:47,93.18681,71.43272,21.754097,21.696090909383933,1.0,0.0
2024-12-01 11:33:48,93.113556,71.43265,21.680908,21.691030007297623,1.0,0.0
2024-12-01 11:33:48,93.113556,71.432594,21.680962,21.68767387449399,1.0,0.0
2024-12-01 11:33:49,93.26007,71.432526,21.827545,21.734297638334535,1.0,0.0
2024-12-01 11:33:50,92.89377,71.43246,21.461311,21.643302205667034,1.0,0.0
2024-12-01 11:33:51,92.89377,71.43238,21.461388,21.582664015203804,1.0,0.0
2024-12-01 11:33:52,93.16239,71.43231,21.73008,21.631802560428838,1.0,0.0
2024-12-01 11:33:53,92.94261,71.432236,21.510376,21.591327032473394,1.0,0.0
2024-12-01 11:33:54,92.79609,71.43217,21.363922,21.515525394695807,1.0,0.0
2024-12-01 11:33:55,93.13797,71.432106,21.705864,21.57897158067611,1.0,0.0
2024-12-01 11:33:56,92.91819,71.432045,21.486145,21.548029393627825,1.0,0.0
2024-12-01 11:33:57,92.84493,71.431984,21.412949,21.50300246521803,1.0,0.0
2024-12-01 11:33:58,92.77167,71.43189,21.339775,21.448593338628427,1.0,0.0
2024-12-01 11:33:59,92.96703,71.4318,21.535233,21.477473073734057,1.0,0.0
2024-12-01 11:34:00,92.89377,71.43171,21.462059,21.472335056154737,1.0,0.0
2024-12-01 11:34:01,92.89377,71.4316,21.462166,21.468945314943003,1.0,0.0
2024-12-01 11:34:03,93.113556,71.43151,21.682045,21.53997853759872,1.0,0.0
2024-12-01 11:34:04,92.96703,71.43144,21.535591,21.53851606689524,1.0,0.0
2024-12-01 11:34:05,92.74725,71.431404,21.31585,21.464293812663236,1.0,0.0
2024-12-01 11:34:06,92.74725,71.43135,21.315903,21.41483011176247,1.0,0.0
2024-12-01 11:34:07,92.869354,71.43133,21.438026,21.4225622172492,1.0,0.0
2024-12-01 11:34:08,92.869354,71.4313,21.438057,21.427727126766396,1.0,0.0
2024-12-01 11:34:09,92.649574,71.43125,21.218323,21.357925669146347,1.0,0.0
2024-12-01 11:34:10,92.649574,71.43123,21.218346,21.31139899346085,1.0,0.0
2024-12-01 11:34:11,92.869354,71.43124,21.438118,21.35363865595958,1.0,0.0
2024-12-01 11:34:12,92.649574,71.431244,21.21833,21.308535898406646,1.0,0.0
2024-12-01 11:34:13,92.649574,71.43123,21.218346,21.27847247963438,1.0,0.0
